AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
LNaF,印尼,,C2,販售,繁殖,ATL00456,ATL00130,2023/3/1,2023/3/2,,爪哇禾雀,,4,5,顏色:頭粉紅體灰。身長:16厘米，臉頰灰色斑塊,顏色:頭黑體灰。身長:16厘米，腹部粉紅,I_Stamp_5,I_Stamp_6
LNbF,印度,印尼,C2,寵物,, , , , ,,爪哇禾雀,,2,1,顏色:頭黑體灰。身長:16厘米，臉頰白色斑塊,顏色:頭黑體灰。身長:16厘米，腹部粉紅,I_Stamp_5,
MHa,福建,,C3,販售,繁殖,ATL00584,ATL00347,2023/3/9,2023/3/10,,香港鬥魚,,20,,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHb,福建,,C3,寵物,, , , , ,,香港鬥魚,,1,2,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHaF,福建,,none,販售,繁殖,ATL00584,ATL00347,2023/3/9,2023/3/10,,香港鬥魚,,20,,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHbF,福建,,C3,繁殖,, , , , ,,香港鬥魚,,1,2,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
HPa,澳洲,,C2,販售,販售,ATL00478,ATL00328,2023/3/9,2023/3/10,,海馬,,10,,顏色:橙黃色。身長:10厘米，頭呈馬頭狀與軀幹成直角形,顏色:橙黃色。身長:10厘米，常呈捲曲狀,I_Stamp_5,
HPb,澳洲,,C1,寵物,, , , , ,,海馬,,1,,顏色:橙黃色。身長:10厘米，頭呈馬頭狀與軀幹成直角形,顏色:橙黃色。身長:10厘米，常呈捲曲狀,I_Stamp_5,
HPaF,澳洲,,C2,販售,繁殖,ATL00479,ATL00329,2023/3/9,2023/3/10,,海馬,,10,,顏色:橙黃色。身長:10厘米，頭呈馬頭狀與軀幹成直角形,顏色:橙黃色。身長:10厘米，常呈捲曲狀,I_Stamp_5,
HPbF,澳洲,,C1,寵物,, , , , ,,海馬,,1,,顏色:橙黃色。身長:10厘米，頭呈馬頭狀與軀幹成直角形,顏色:橙黃色。身長:10厘米，常呈捲曲狀,I_Stamp_5,I_Stamp_6
AMa,墨西哥,,C1,繁殖,販售,ATL00252,ATL00259,2022/11/13,2022/11/14,,墨西哥鈍口螈,,20,,"顏色:粉白色,。身長:40厘米，頭寬眼較小，有六根紅色腮","顏色:粉白色,。身長:40厘米，四肢較短小，有六根紅色腮",I_Stamp_5,
AMb,墨西哥,,C2,寵物,, , , , ,,墨西哥鈍口螈,,1,,"顏色:粉白色,。身長:40厘米，頭寬眼較小，有六根紅色腮","顏色:粉白色,。身長:40厘米，四肢較短小，有六根紅色腮",I_Stamp_5,
AMaF,墨西哥,,C1,繁殖,販售,ATL00252,ATL00259,2022/11/13,2022/11/14,,墨西哥鈍口螈,,20,,"顏色:粉白色,。身長:40厘米，頭寬眼較大，有六根紅色腮","顏色:粉白色,。身長:40厘米，四肢較粗大，有六根紅色腮",I_Stamp_5,
AMbF,墨西哥,,C2,寵物,, , , , ,,墨西哥鈍口螈,,1,,"顏色:粉白色,。身長:40厘米，頭寬眼較小，有六根紅色腮","顏色:粉白色,。身長:40厘米，四肢較短小，有六根紅色腮",I_Stamp_5,
AIa,廣西,,C3,繁殖,販售,ATL00450,ATL00420,2023/12/25,2023/12/26,,林氏細鯽,,8,,顏色: 藍色背面。身長5厘米，腹面上有白色，無側線,顏色: 藍色背面。身長5厘米，腹面上有白色，背鰭短小,I_Stamp_5,
AIb,廣西,,C3,寵物,, , , , ,,林氏細鯽,,1,3,顏色: 藍色背面。身長5厘米，腹面上有白色，無側線,顏色: 藍色背面。身長5厘米，腹面上有白色，背鰭短小,I_Stamp_5,
AIaF,廣西,,C3,繁殖,販售,ATL00450,ATL00420,2022/10/4,2022/10/5,,林氏細鯽,,6,,顏色: 藍色背面。身長5厘米，腹面上有白色，無側線,顏色: 藍色背面。身長5厘米，腹面上有白色，背鰭短小,I_Stamp_5,
AIbF,廣西,,C3,寵物,, , , , ,,林氏細鯽,,1,,顏色: 藍色背面。身長5厘米，腹面上有白色，無側線,顏色: 藍色背面。身長5厘米，腹面上有白色，背鰭短小,I_Stamp_5,
CHa,加拿大,,C2,販售,販售,ATL00247,ATL00461,2022/10/4,2022/10/5,,擬鱷龜,,6,7,顏色: 淺棕色或淺灰。身長50厘米，背部較平坦而且有少量突粒,"顏色: 淺棕色或淺灰。身長50厘米，指間長有利爪,尾背鱗皮狀稜背",I_Stamp_5,
CHb,加拿大,,C1,寵物,, , , , ,,擬鱷龜,,1,,顏色: 淺棕色或淺灰。身長50厘米，背部較平坦而且有少量突粒,"顏色: 淺棕色或淺灰。身長50厘米，指間長有利爪,尾背鱗皮狀稜背",I_Stamp_5,
CHaF,加拿大,,C2,販售,販售,ATL00247,ATL00461,2022/10/4,2022/10/5,,擬鱷龜,,6,7,顏色: 淺棕色或淺灰。身長50厘米，背部較平坦而且有少量突粒,"顏色: 淺棕色或淺灰。身長50厘米，指間長有利爪,尾背鱗皮狀稜背",I_Stamp_5,
CHbF,加拿大,,C1,寵物,, , , , ,,擬鱷龜,,1,,顏色: 淺棕色或淺灰。身長50厘米，背部較平坦而且有少量突粒,"顏色: 淺棕色或淺灰。身長50厘米，指間長有利爪,尾背鱗皮狀稜背",I_Stamp_5,
