AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
CTaF,香城,,C3,販售,販售,ATL00408,ATL00409,2022/12/31,2023/1/1,,金錢龜,,30,,顏色:背甲紅棕色。身長:30厘米，有3條黑色縱紋，底板全黑色,顏色:背甲紅棕色。身長:20厘米，頭較黃，頭頂光滑無鱗,I_Stamp_5,
CTbF,香城,,C3,寵物,, , , , ,,金錢龜,,1,2,顏色:背甲紅棕色。身長:30厘米，有3條黑色縱紋，底板全黑色,顏色:背甲紅棕色。身長:20厘米，頭較黃，頭頂光滑無鱗,I_Stamp_5,
PIa,秘魯,,C1,販售,繁殖,ATL00544,ATL00417,2022/10/11,2022/10/12,,霓虹燈魚,,10,,"顏色:呈綠藍尾柄鮮紅,。身長:3厘米，霓虹縱帶從眼至尾柄前","顏色:呈綠藍尾柄鮮紅,。身長:4厘米，霓虹縱帶從眼至尾柄前",I_Stamp_5,
PIb,秘魯,,C1,寵物,, , , , ,,霓虹燈魚,,4,5,"顏色:呈綠藍尾柄鮮紅,。身長:3厘米，霓虹縱帶從眼至尾柄前","顏色:呈綠藍尾柄鮮紅,。身長:4厘米，霓虹縱帶從眼至尾柄前",I_Stamp_5,
PIaF,秘魯,,C1,販售,繁殖,ATL00544,ATL00417,2022/10/11,2022/10/12,,霓虹燈魚,,10,,"顏色:呈綠藍尾柄鮮紅,。身長:3厘米，霓虹縱帶從眼至尾柄前","顏色:呈綠藍尾柄鮮紅,。身長:4厘米，霓虹縱帶從眼至尾柄前",I_Stamp_5,
PIbF,秘魯,,C1,繁殖,寵物, , , , ,,霓虹燈魚,,4,5,"顏色:呈綠藍尾柄鮮紅,。身長:3厘米，霓虹縱帶從眼至尾柄前","顏色:呈綠藍尾柄鮮紅,。身長:4厘米，尾鰭寬並佔全長三分一以上",I_Stamp_5,
XHa,危地馬拉,,C2,販售,繁殖,ATL00222,ATL00293,2022/9/15,2022/9/16,,紅箭魚,,20,,顏色: 火紅色。身長:8厘米，雌性有圓形尾,顏色: 火紅色。身長:7厘米，尾巴呈劍形生長,I_Stamp_5,
XHb,危地馬拉,,C1,寵物,, , , , ,,紅箭魚,,3,2,顏色: 火紅色。身長:8厘米，雌性有圓形尾,顏色: 火紅色。身長:7厘米，尾巴呈劍形生長,I_Stamp_5,
XHaF,危地馬拉,,C2,販售,繁殖,ATL00222,ATL00293,2022/9/15,2022/7/6,,紅箭魚,,20,,顏色: 火紅色。身長:8厘米，雌性有圓形尾,顏色: 火紅色。身長:7厘米，尾巴呈劍形生長,I_Stamp_5,
XHbF,危地馬拉,,C1,寵物,, , , , ,,紅箭魚,孔雀魚 ,3,2,顏色: 火紅色。身長:80厘米，雌性有圓形尾,顏色: 火紅色。身長:70厘米，尾巴呈劍形生長,I_Stamp_5,I_Stamp_6
FPa,斯里蘭卡,,C1,繁殖,販售,ATL00252,ATL00404,2022/11/11,2022/10/4,,七彩變色龍,,15,6,顏色: 通常青綠色。身長:35厘米，眼凸出，有红色豹紋,顏色: 通常青綠色。身長:45厘米，頭呈三角形，尾常捲曲,I_Stamp_5,
FPb,斯里蘭卡,,C2,寵物,, , , , ,,七彩變色龍,,1,,顏色: 通常青綠色。身長:35厘米，眼凸出，有红色豹紋,顏色: 通常青綠色。身長:45厘米，頭呈三角形，尾常捲曲,I_Stamp_5,
FPaF,斯里蘭卡,,C1,繁殖,販售,ATL00252,ATL00404,2022/11/11,2022/10/4,,七彩變色龍,,15,6,顏色: 通常青綠色。身長:35厘米，眼凸出，有红色豹紋,顏色: 通常青綠色。身長:45厘米，頭呈三角形，尾常捲曲,I_Stamp_5,
FPbF,斯里蘭卡,,C2,寵物,, , , , ,,七彩變色龍,,1,,顏色: 通常青綠色。身長:35厘米，眼凸出，有红色豹紋,顏色: 通常青綠色。身長:45厘米，頭呈三角形，尾常捲曲,I_Stamp_5,
