AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
CUaF,印度,,C1,販售,繁殖,ATL00328,AIL00682,2023/3/10,2022/11/13,,蘇眉,,5,4,顏色:黃綠體頭頸墨綠。身長:200厘米，眼間明顯隆起,顏色:黑橙花纹。身長:15厘米，後半部具深色波狀橫紋,I_Stamp_5,
CUbF,印度,,C1,寵物,, , , , ,,蘇眉,,1,,顏色:黃綠體頭頸墨綠。身長:200厘米，眼間明顯隆起,顏色:黑橙花纹。身長:15厘米，後半部具深色波狀橫紋,I_Stamp_5,
CIa,巴布亞新幾內亞,,C2,販售,繁殖,ATL00081,ATL00666,2022/10/9,2022/11/13,,豬鼻龜,,13,,顏色:綠色。身長:100厘米，有體大而下垂的喉扇,顏色:綠色。身長:200厘米，背部有梳齒狀的鱗片,I_Stamp_5,
CIb,巴布亞新幾內亞,,C2,寵物,, , , , ,,豬鼻龜,,1,,顏色:綠色。身長:100厘米，有體大而下垂的喉扇,顏色:綠色。身長:200厘米，背部有梳齒狀的鱗片,I_Stamp_5,
CIaF,巴布亞新幾內亞,,C2,販售,繁殖,ATL00081,ATL00666,2022/10/9,2022/11/13,,豬鼻龜,,13,,顏色:綠色。身長:100厘米，有體大而下垂的喉扇,顏色:綠色。身長:200厘米，背部有梳齒狀的鱗片,I_Stamp_5,
CIbF,巴布亞新幾內亞,,C2,寵物,, , , , ,,豬鼻龜,,1,,顏色:綠色。身長:100厘米，有體大而下垂的喉扇,顏色:綠色。身長:200厘米，背部有梳齒狀的鱗片,I_Stamp_5,
IIa,美國,,C1,販售,販售,ATL00404,ATL00291,2022/10/4,2022/11/13,,绿鬣蜥,,5,3,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
IIb,美國,,C2,寵物,, , , , ,,绿鬣蜥,,1,,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
IIaF,美國,,C1,販售,販售,ATL00000,ATL00543,2022/9/15,2022/9/16,,绿鬣蜥,,35,,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
IIbF,美國,,C2,寵物,, , , , ,,绿鬣蜥,,4,7,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,I_Stamp_7
ADa,日本,,C2,非商業繁殖,非商業繁殖,ATL00418,ATL00711,2022/10/4,2022/11/13,,大鯢,,9,,"顏色:背呈棕褐色,。身長:100厘米，有極小的鼻孔和眼","顏色:背呈棕褐色,。身長:100厘米，口大，軀扁而粗壯",I_Stamp_5,
ADb,日本,,C2,寵物,, , , , ,,娃娃魚,,1,,"顏色:背呈棕褐色,。身長:100厘米，有極小的鼻孔和眼","顏色:背呈棕褐色,。身長:100厘米，口大，軀扁而粗壯",I_Stamp_5,
ADaF,日本,,C2,非商業繁殖,非商業繁殖,ATL00418,ATL00711,2022/10/4,2022/11/13,,大鯢,,9,,"顏色:背呈棕褐色,。身長:100厘米，有極小的鼻孔和眼","顏色:背呈棕褐色,。身長:100厘米，口大，軀扁而粗壯",I_Stamp_5,I_Stamp_7
ADbF,日本,,C2,寵物,, , , , ,,娃娃魚,墨西哥鈍口螈,1,,"顏色:背呈棕褐色,。身長:100厘米，有極大的鼻孔和眼，口小","顏色:背呈棕褐色,。身長:100厘米，口大，軀扁而粗壯",I_Stamp_5,
PBa,柬埔寨,,C2,繁殖,販售,ATL00242,ATL00712,2022/11/12,2022/11/13,,緬甸蟒,,7,6,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBb,柬埔寨,,C3,寵物,, , , , ,,緬甸蟒,,1,,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBaF,柬埔寨,,C2,繁殖,販售,ATL00242,ATL00712,2022/11/12,2022/11/13,,緬甸蟒,,7,6,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PBbF,柬埔寨,,C3,寵物,, , , , ,,緬甸蟒,,1,,顏色:褐色。身長:500厘米，滿布不規則棕色雲狀大斑,顏色:褐色。身長:700厘米，體形粗胖，頭較大軀體小,I_Stamp_5,
PHa,美國,,C2,販售,販售,ATL00723,ATL00741,2022/10/9,2022/10/10,,水虎魚,,10,,顏色:銀灰色腹部紅色。身長:14厘米，身扁圆。,顏色:銀灰色腹部紅色。身長:14厘米，有尖牙。,I_Stamp_5,
PHb,美國,,C2,寵物,, , , , ,,紅肚食人鯧,,1,,顏色:銀灰色腹部紅色。身長:14厘米，身扁圆。,顏色:銀灰色腹部紅色。身長:14厘米，有尖牙。,I_Stamp_5,
PHaF,美國,,C2,販售,販售,ATL00723,ATL00741,2022/10/9,2022/10/10,,水虎魚,,10,,顏色:銀灰色腹部紅色。身長:14厘米，身扁圆。,顏色:銀灰色腹部紅色。身長:14厘米，有尖牙。,I_Stamp_5,
PHbF,美國,,C2,寵物,, , , , ,,紅肚食人鯧,, ,1,顏色:銀灰色腹部紅色。身長:14厘米，身扁圆。,顏色:銀灰色腹部紅色。身長:14厘米，有尖牙。,I_Stamp_5,I_Stamp_6
SAa,英國,,C1,販售,繁殖,ATL00731,ATL00732,2022/10/5,2022/10/6,,灰林鴞,,2,,顏色: 褐色。身長:37厘米，胸腹具細密條紋和蟲蠹狀斑,顏色: 褐色。身長:40厘米，胸腹具細密條紋和蟲蠹狀斑,I_Stamp_5,
SAb,英國,,C1,寵物,, , , , ,,灰林鴞,,1,,顏色: 褐色。身長:37厘米，胸腹具細密條紋和蟲蠹狀斑,顏色: 褐色。身長:40厘米，胸腹具細密條紋和蟲蠹狀斑,I_Stamp_5,
SAaF,英國,,C1,販售,繁殖,ATL00731,ATL00732,2022/10/5,2022/10/6,,灰林鴞,,2,,顏色: 褐色。身長:37厘米，胸腹具細密條紋和蟲蠹狀斑,顏色: 褐色。身長:40厘米，胸腹具細密條紋和蟲蠹狀斑,I_Stamp_5,
SAbF,英國,,C1,寵物,, , , , ,,灰林鴞,,1,,顏色: 褐色。身長:37厘米，胸腹具細密條紋和蟲蠹狀斑,顏色: 褐色。身長:40厘米，胸腹具細密條紋和蟲蠹狀斑,I_Stamp_5,
RVa,塞內加爾,,C2,非商業繁殖,非商業繁殖,ATL00319,ATL00772,2023/1/16,2022/11/13,,盔犀鳥,,2,,顏色:呈深棕尾羽白色。身長:110厘米，頭骨像頭盔，套在喙上,顏色:呈深棕尾羽白色。身長:120厘米，頭骨像頭盔，套在喙上,I_Stamp_5,
RVb,塞內加爾,,C2,寵物,, , , , ,,盔犀鳥,,1,,顏色:呈深棕尾羽白色。身長:110厘米，頭骨像頭盔，套在喙上,顏色:呈深棕尾羽白色。身長:120厘米，頭骨像頭盔，套在喙上,I_Stamp_5,
RVaF,塞內加爾,,C2,非商業繁殖,非商業繁殖,ATL00319,ATL00772,2023/1/16,2022/11/13,,盔犀鳥,,2,,顏色:呈深棕尾羽白色。身長:110厘米，頭骨像頭盔，套在喙上,顏色:呈深棕尾羽白色。身長:120厘米，頭骨像頭盔，套在喙上,I_Stamp_5,
RVbF,塞內加爾,,C2,寵物,, , ,2022/11/14, ,,盔犀鳥,,1,,顏色:呈深棕尾羽白色。身長:110厘米，頭骨像頭盔，套在喙上,顏色:呈深棕尾羽白色。身長:120厘米，頭骨像頭盔，套在喙上,I_Stamp_5,
