AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
SPa,蘇丹,,C2,繁殖,繁殖,ATL00923,ATL00844,2022/10/18,2022/10/5,,豹龜,,4,5,顏色:奶油黃色。身長:40厘米，黑色斑條形成多個橢圓圓塊,顏色:奶油黃色。身長:60厘米，黑色斑條形成多個橢圓圓塊,I_Stamp_5,
SPb,蘇丹,,C1,寵物,, , , , ,,豹龜,,1,,顏色:奶油黃色。身長:40厘米，黑色斑條形成多個橢圓圓塊,顏色:奶油黃色。身長:60厘米，黑色斑條形成多個橢圓圓塊,I_Stamp_5,
SPaF,蘇丹,,C2,繁殖,繁殖,ATL00923,ATL00844,2022/10/18,2022/10/5,,豹龜,,4,5,顏色:奶油黃色。身長:40厘米，黑色斑條形成多個橢圓圓塊,顏色:奶油黃色。身長:60厘米，黑色斑條形成多個橢圓圓塊,I_Stamp_5,
SPbF,蘇丹,,C1,寵物,, , , , ,,豹龜,,1,,顏色:奶油黃色。身長:40厘米，黑色斑條形成多個橢圓圓塊,顏色:黑橙花纹。身長:15厘米，背甲高聳，後緣有明顯卷翹,I_Stamp_5,
ARa,馬達加斯加,,C1,非商業繁殖,非商業繁殖,ATL00461,ATL00462,2022/10/6,2022/10/7,,輻射龜,,5,8,顏色:有黃色輻射線。身長:41厘米，頭頂有黑色斑塊,顏色:有黃色輻射線。身長:41厘米，盾甲少出現隆背,I_Stamp_5,
ARb,馬達加斯加,,C1,寵物,, , , , ,,輻射龜,,2,1,顏色:有黃色輻射線。身長:41厘米，頭頂有黑色斑塊,顏色:有黃色輻射線。身長:41厘米，盾甲少出現隆背,I_Stamp_5,
ARaF,馬達加斯加,,C1,非商業繁殖,非商業繁殖,ATL00461,ATL00462,2022/10/6,2022/10/7,,輻射龜,,5,8,顏色:有黃色輻射線。身長:41厘米，頭頂有黑色斑塊,顏色:有黃色輻射線。身長:41厘米，盾甲少出現隆背,I_Stamp_5,
ARbF,馬達加斯加,,C1,寵物,, , , , ,,輻射龜,,2,1,顏色:有黃色輻射線。身長:41厘米，頭頂有黑色斑塊,顏色:有黃色輻射線。身長:41厘米，盾甲少出現隆背,I_Stamp_5,I_Stamp_7
BJa,吉林,,C2,販售,繁殖,ATL00122,ATL00748,2022/10/13,2022/10/14,,朱連雀,,6,4,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
BJb,吉林,,C1,寵物,, , , , ,,朱連雀,,2,1,顏色:栗色漸淺。身長:16厘米，具細長羽冠，眼有黑色細紋帶,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
BJaF,吉林,,C2,販售,繁殖,ATL00122,ATL00748,2022/10/13,2022/10/14,,朱連雀,,6,4,顏色: 背部花褐和淺黃色。身長15厘米，黑褐色干羽較細,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,I_Stamp_6
BJbF,吉林,,C1,寵物,, , , , ,,朱連雀,,2,1,顏色:栗色漸淺。身長:16厘米，沒有紅色斑塊,顏色:栗色漸淺。身長:16厘米，羽端有玫紅色斑塊和褐灰細白緣,I_Stamp_5,
EAa,廣西,,C2,販售,販售,ATL00912,ATL00833,2022/10/2,2022/10/3,,紅斑魚,,10,8,顏色:褐色或紅色。身長:58厘米，較寬側扁,顏色:褐色或紅色。身長:58厘米，帶有條紋和白斑點,I_Stamp_5,
EAb,廣西,,C2,寵物,, , , , ,,紅斑魚,,1,,顏色:褐色或紅色。身長:58厘米，較寬側扁,顏色:褐色或紅色。身長:58厘米，帶有條紋和白斑點,I_Stamp_5,
EAaF,廣西,,C2,販售,販售,ATL00912,ATL00833,2022/10/2,2022/1/3,,紅斑魚,,10,8,顏色:褐色或紅色。身長:58厘米，較寬側扁,顏色:褐色或紅色。身長:58厘米，帶有條紋和白斑點,I_Stamp_5,
EAbF,廣西,,C2,寵物,, , , , ,,紅斑魚,,1,,顏色:褐色或紅色。身長:58厘米，較寬側扁,顏色:褐色或紅色。身長:58厘米，帶有條紋和白斑點,I_Stamp_5,I_Stamp_7
BBa,斯堪的纳维亚,,C1,販售,販售,ATL00342,ATL00595,2022/10/3,2022/10/4,,雕鴞,,3,2,顏色:褐色。身長:55米，面盤淡棕黃色,顏色:褐色。身長:73厘米，，黑色耳羽特別發達,I_Stamp_5,
BBb,斯堪的纳维亚,,C1,寵物,, , , , ,,雕鴞,,1,,顏色:褐色。身長:55米，面盤淡棕黃色,顏色:褐色。身長:73厘米，，黑色耳羽特別發達,I_Stamp_5,
BBaF,斯堪的纳维亚,,C1,販售,販售,ATL00342,ATL00595,2022/10/3,2022/10/4,,大鵰鴞,雕鴞,3,2,顏色:褐色。身長:55米，面盤淡棕黃色,顏色:褐色。身長:73厘米，，黑色耳羽特別發達,I_Stamp_5,
BBbF,斯堪的纳维亚,,C1,寵物,, , , , ,,雕鴞,,1,,顏色:褐色。身長:34米，面盤淡棕黃色,顏色:褐色。身長:73厘米，，黑色耳羽特別發達,I_Stamp_5,I_Stamp_6
PRa,佛羅里達,,C1,販售,繁殖,ATL0742,ATL0852,2022/11/20,2022/11/21,,佛羅里達跳蛛,,20,15,顏色: 有橙和黑白相間。身長:5厘米，短粗而稍扁平的節肢,顏色: 有橙和黑白相間。身長:4厘米，觸肢肥大,I_Stamp_5,
PRb,佛羅里達,,C2,寵物,, , , , ,,佛羅里達跳蛛,,2,1,顏色: 有橙和黑白相間。身長:5厘米，短粗而稍扁平的節肢,顏色: 有橙和黑白相間。身長:4厘米，觸肢肥大,I_Stamp_5,
PRaF,佛羅里達,,C1,販售,繁殖,ATL0742,ATL0852,2022/11/20,2021/11/21,,佛羅里達跳蛛,,20,15,顏色: 有橙和黑白相間。身長:5厘米，短粗而稍扁平的節肢,顏色: 有橙和黑白相間。身長:4厘米，觸肢肥大,I_Stamp_5,
PRbF,佛羅里達,,C2,非商業繁殖,寵物, , , , ,,佛羅里達跳蛛,,2,1,顏色: 有橙和黑白相間。身長:5厘米，短粗而稍扁平的節肢,顏色: 有橙和黑白相間。身長:40厘米，觸肢肥大,I_Stamp_5,
AYa,馬達加斯加,,C1,非商業繁殖,非商業繁殖,ATL00329,ATL00333,2022/11/22,2022/11/23,,安哥洛卡象龜,,2,3,顏色:呈淺棕色。身長:43厘米，背甲隆起呈球狀,顏色:呈淺棕色。身長:43厘米，每塊甲上有年輪,I_Stamp_5,
AYb,馬達加斯加,,C2,寵物,, , , , ,,安哥洛卡象龜,,1,,顏色:呈淺棕色。身長:43厘米，背甲隆起呈球狀,顏色:呈淺棕色。身長:43厘米，每塊甲上有年輪,I_Stamp_5,
AYaF,馬達加斯加,,C1,非商業繁殖,繁殖,ATL00329,ATL00333,2022/11/22,2022/11/23,,緬甸星龜,安哥洛卡象龜,2,3,顏色:淡黃色。身長:35厘米，六角形斑紋對稱,顏色:呈淺棕色。身長:43厘米，每塊甲上有年輪,I_Stamp_5,
AYbF,馬達加斯加,,C2,寵物,, , , , ,,象龜,安哥洛卡象龜,1,,顏色:呈淺棕色。身長:43厘米，背甲隆起呈球狀,顏色:呈淺棕色。身長:43厘米，每塊甲上有年輪,I_Stamp_5,I_Stamp_7
